idx,book_title,chapter_words,n_chunks,reference,flat_summary,hierarchical_summary,flat_rouge1,hier_rouge1,flat_rouge2,hier_rouge2,flat_rougeL,hier_rougeL,flat_entity_recall,hier_entity_recall
0,Tess of the D'Urbervilles,3920,6,"Angel arises at dawn; the neighboring cottager's wife knocks on the door, but he sends her away because her presence is awkward. Angel prepares breakfast, and the two behave civilly to one another, although the pair are ""but ashes of their former fires. Angel asks again if it is true, and he asks if the man is still in England. Tess says that he can get rid of her by divorcing her; her confession has given him adequate grounds for that. She tells him that she thought of putting an end to herself under the mistletoe, but did not because she felt it would cause scandal. Tess continues to do chores around the house for Angel while he visits a local miller, but he scolds her for behaving as a servant and not a wife. Tess breaks into tears, claiming that she had told him that she was not respectable enough to marry him, but he urged her. Her tears would have broken any man but Angel Clare, whose affection masks a hard, logical deposit like a vein of metal that blocks his acceptance of Tess as it blocked his acceptance of the Church. He tells her that it is not a question of respectability, but one of principle. Angel tells Tess that it is imperative that they should stay together to avoid scandal, but it is only for the sake of form. Angel tells Tess that he cannot live with Tess without despising himself and despising her. He considers what their possible children may think. She considers arguing that in Texas or Australia, nobody will know about her misfortunes, but she accepts the momentary sentiment as inevitable. Angel's love is doubtless ethereal to a fault, imaginative to impracticability. He orders her to go away from him, and she says that she can go home. She claims that she has convinced him and that she thinks it best.","The story of a newly-married couple who fall in love is told in the novel ""Tess of the D'Urbervilles"" The novel is about a young woman who falls in love with a man she once knew. The couple's love story is told through the eyes of the woman's daughter.","Clare arose in the light of a dawn that was ashy and furtive, as though associated with crime. He spoke gently to her, and she replied with a like undemonstrativeness. ""I should not have let it go on to marriage with you if I had not known that, after all, there was a last way out of it for you""",0.1447721179624665,0.17368421052631577,0.016172506738544475,0.005291005291005292,0.09115281501340483,0.08947368421052632,0.14285714285714285,0.0
1,Sense and Sensibility,2923,4,"The Palmers return to Cleveland. Sir John Middleton invites Anne and Lucy Steele, relatives of Mrs. Jennings from nearby Exeter, to Barton Park. He invites Elinor and Marianne to come to Barton Park to meet the Steeles. He praises each pair of sisters to the other pair, feeling sure that they will get along. Anne and Lucy make themselves agreeable to Lady Middleton by appearing to be fond of her children, however unpleasant their behavior is. During Elinor and Marianne's visit, Lucy goes to great lengths to make friends with them. Anne seems obsessed with eligible young men, or ""beaux. Elinor thinks that Anne has vulgar manners and that Lucy is pretty but shrewd. She does not wish to get to know either of them better. Sir John indiscreetly tells the Steeles that Marianne is soon to be married and that Elinor has an admirer called Mr. Ferrars. Anne declares that she and her sister know Mr. Ferrars very well, but Lucy immediately downplays their familiarity with him","Sir John Palmer invited two young ladies to visit his family at Barton Park, Cleveland, after their engagements at Exeter were over. The young ladies were cousins of Elinor Middleton's. Sir John promised them a day or two at the Park, and then left them in their indifference at their indifference.","Lady Middleton saw with maternal complacency all the impertinent encroachments and mischievous tricks to which her cousins submitted. Elinor and Marianne were friends, but Sir John thought they should be more intimate. He made the Miss Steeles acquainted with whatever he knew or supposed of his cousins' situations in the most delicate particulars.",0.21719457013574664,0.21621621621621623,0.0273972602739726,0.03636363636363636,0.12669683257918551,0.13513513513513514,0.375,0.25
2,The Red and the Black,2554,4,"Julien asks for a three-day leave from his boss so he can go visit his friend Fouqe. While leaving, he meets with Madame outside the house. She acts coldly toward him and his pride makes him angry with her. She backs down and gets scared that he'll stop loving her. That afternoon, Madame cries at the thought of Julien leaving. She excuses herself from her cousin and goes to cry in bed. Meanwhile, Julien sets off for his friend's house. On the way, he stops on a mountain and writes out his deepest thoughts. He feels completely free and decides to spend the night sleeping on the mountain. When he reaches his destination, his buddy Fouqe offers him a good job as his partner in the timber business. Julien doesn't like the offer because he's afraid it will seduce him away from his ambitions. Julien turns down the offer. Fouqe thinks he's crazy to turn down such a good deal. But there you have it.","Madame de Renal kept Julien waiting for a long time in the garden. Herhabitual pallor had been succeeded by more lively hues. This woman,simple as she was, was manifestly agitated. A sentiment of constraint, even of anger, altered that expression of profound serenity.","Madame de Renal kept Julien waiting for a long time in the garden. Her habitual pallor had been succeeded by more lively hues. Julien was astonished at the icy coldness which she endeavoured to manifest to him. ""That's what women are,"" repeated M. deRenal, ""there is always something out of order in those complicated women""",0.10232558139534884,0.17621145374449337,0.018779342723004695,0.026666666666666665,0.06511627906976744,0.11453744493392069,0.3333333333333333,0.3333333333333333
3,The Picture of Dorian Gray,2819,4,"The next night, Henry and Basil get to the restaurant before Dorian, and they take advantage of the opportunity to discuss Dorian's sudden engagement. Basil doesn't approve, but Henry looks at it lightly as a part of his experiment. He hopes that marriage won't ruin Dorian, and that the boy will marry Sibyl, love her madly for a little while, and move on. Dorian shows up in the middle of this heated discussion. He's in a jolly mood, and he recounts the story of his engagement to Sibyl. The night before, Dorian watched Sibyl perform in As You Like It, and was overwhelmed by his adoration for her. Backstage after the show, they kissed and exchanged vows of love. Back to the present--Basil is slowly won over by this story, convinced that Dorian really is in love with the girl. Henry is still incredulous and, as usual, expresses his cynical viewpoint. Dorian laughs Henry off, saying that being with Sibyl undoes everything Henry's done to him--she makes him forget all of Henry's ""poisonous"" theories about life and love. Henry goes off on another of his philosophical binges, this time about goodness, morality, and women. He basically thinks that everyone should just be concerned with themselves and their own pleasures. Basil and Dorian disagree, but Henry persists in putting forth his ideas. Oh yeah, and he also thinks that women are pretty worthless--in his estimation, they're always hanging on to men, preventing them from attaining greatness. Dorian promises that Henry will feel different about all of this once he's seen Sibyl Vane. Henry demurs, admitting that it's possible that he'll be really taken with her. They leave in Henry's carriage, and poor Basil has to follow in a cab. During his solitary ride, Basil is saddened by the feeling that Dorian is lost to him forever--the marriage will drive them apart. However, he reasons, it's better than some things that could have happened to his young friend...","""Dorian Gray is engaged to be married,"" said Lord Henry. ""Impossible!"" said Hallward. ""I don't want to see Dorian tied to some vile creature, who might degrade his nature and ruin his intellect"" ""I hope that Dorian will make this girl his wife, and then suddenly becomefascinated by some one else""","""Dorian Gray is engaged to be married,"" said Lord Henry, watching him as he spoke. ""Impossible!"" he cried. ""It is perfectly true."" ""To whom?""  ""To some little actress or other"" ""I can't believe it. Dorian is far too sensible""",0.11167512690355329,0.0994764397905759,0.005102040816326531,0.005263157894736842,0.08629441624365482,0.06806282722513088,0.2222222222222222,0.1111111111111111
4,The Brothers Karamazov,4389,6,"Snegiryov then starts rambling on to Alyosha about the back-story behind his dispute with Dmitri. He had been some kind of servant to Dmitri but had cheated him on Grushenka's and Fyodor's orders. On discovering this, Dmitri had turned him out of the tavern by his beard, mockingly called the ""whiskbroom,"" in front of his own son and the other children. His son continues to be mocked by the children and is constantly getting into fights with them even though he's frail. Alyosha then offers him the 200 roubles. Snegiryov seems genuinely grateful and goes on about all the wonderful things he can do for his family. But all of a sudden, Snegiryov's mood seems to change. He flings the roubles on the ground and announces that his honor can't be bought. But as he runs away, he also asks Alyosha what his son would say if he knew that he had accepted money from a Karamazov.","""I too have something important to say to you,"" observed Alyosha, ""only I don't know how to begin"" ""To be sure you must have business with me. You would never have looked in upon me without some object,"" replied the captain. ""And, by the way, about the boy: I could not explain to you in there, but here I will describe that scene to you""","""I too have something important to say to you,"" observed Alyosha, ""only I don't know how to begin"" ""Your brother Dmitri Fyodorovitch was pulling me by my beard, I'd done nothing, he was in a towering rage and happened to come upon me"" ""I would advise you not to send him to school""",0.17467248908296942,0.14678899082568808,0.02643171806167401,0.0,0.11353711790393012,0.10091743119266054,0.16666666666666666,0.3333333333333333
5,Lord Jim,4328,6,"At this point, Marlow interrupts his narrative in order to introduce us to the incredible person of Doramin, the longtime friend of Stein. Doramin, Marlow says, was remarkable. He was an imposing, monumental hulk of a man, with proud, staring eyes. In contrast, his wife was light, delicate, quick, and a little witchlike, despite the fact that she was always fussing over him. Their only son, Dain Waris, was Jim's best friend. He was married at eighteen and was now twenty-five. He was attentive and deeply respectful of his parents, and he loved Jim and trusted him implicitly and without reservation. Because of their deep, warm, war-comrade sort of friendship, each of the men, Marlow says, was a ""captive"" of the other, just as Marlow observed earlier that Jim was a ""captive"" of Patusan. These, then, were Jim's most trusted allies, those to whom he would owe complete allegiance when he initiated his plan to bring peace to Patusan. He had no other choice than to try and bring peace to the island, he told Marlow; in fact, he felt compelled to try and bring peace to the island. ""It seemed to come to me. All at once I saw what I had to do."" Everywhere that Jim looked, he saw fear. He realized that he would have to do something dramatic and daring in order to control both Rajah Allang and Sherif Ali. In a moment of almost mystical vision, Jim realized that he had ""the power to make peace""; that was to be his purpose in Patusan. His plan was bold and audacious, but he believed that he could persuade enough of the natives who supported Doramin to help him destroy Sherif Ali's stockade. Not surprisingly, Dain Waris was the first native to support Jim's plan. First, two old and rusty ""seven-pound brass cannons"" had to be hauled by ingenious means up one of the mountains. From that vantage point, Jim could blow up Sherif Ali's camp on the other mountain, and then a large group of men would storm through the remains of Sherif Ali's camp. The men worked all night long in a superhuman effort to pull the enormously heavy cannons up the mountain, the noses of them ""tearing slowly through the bushes, like a wild pig rooting its way in the undergrowth."" Sherif Ali watched Jim and the natives and thought that they were idiotic. But old Doramin was so fascinated by Jim's plan that he had himself carried up the hill in his armchair so that he could watch. Jim figured that if his plan didn't work, Doramin had decided that he wanted to die on the mountain. Nobody, Jim says, truly believed that his plan would work -- except Jim himself. Marlow says that after Jim's dramatically successful rout of Sherif Ali, he became a legend in Patusan; the natives believed that he had supernatural powers. Stories were told about Jim's literally carrying the enormous brass cannons up the mountain on his back. Jim laughed a ""Homeric peal of laughter"" when he related this tale to Marlow. Speaking of the enormous explosion, he said, ""You should have seen the splinters fly."" Jim and Dain Waris were the first ones to invade the stockade, which was built so flimsily that it almost fell down before them. Instantly, Dain Waris saved Jim's life from the spear of a ""pockmarked tattooed native."" The third man into the ruins of the stockade was young Tamb' Itam, and from that moment on, Tamb' Itam became inseparable from Jim. Symbolically, he would follow Jim everywhere, like, Marlow says, ""a morose shadow of darkness."" Very soon, Jim made him ""headman,"" and all Patusan respected him and accepted him as a man of much influence. The rout was complete, but afterwards, it was, Jim said, ""an awful responsibility,"" for when success came, Jim realized almost instantly that his soul had been absorbed ""into the innermost life of the people."" He was the epitome of a hero to the Patusan people. He had their ""blind trust."" They were totally dependent on him. Their dependence was Jim's total responsibility. Jim was suddenly granted power. Thus, it was no wonder that Jim told Marlow that he had a sudden, jarring sense of isolation and loneliness. He had become ""an exceptional man."" Every word that he spoke was ""the one truth of every passing day."" From now on, the natives would look to Jim for Truth.","Doramin Waris was one of the most remarkable men of his race I had ever seen. His bulk for a Malay was immense, but he did not look merely fat. His motionless body, clad in rich stuffs, gold embroideries, made a whole that, once seen, can never be forgotten.","'Doramin was one of the most remarkable men of his race I had ever seen' 'His bulk for a Malay was immense, but he did not look merely fat; he looked imposing, monumental' 'He was never known to raise his voice. It was a hoarse and powerful murmur' 'It thrilled me to see him there--like a rock'",0.07213930348258706,0.09594095940959409,0.014962593516209476,0.02712700369913687,0.04975124378109453,0.06396063960639606,0.045454545454545456,0.0
6,Sense and Sensibility,2474,4,"Sir John and Lady Middleton are expected in town in just a short time; Marianne continues to look forward to seeing Willoughby, and Elinor finds her greatest enjoyment in Colonel Brandon's daily visits. They return one day to find Willoughby's card, which gives Marianne great pleasure that he is in town and managed to drop by. Elinor still has not managed to find out if Marianne and Willoughby are engaged; she is much disturbed when Colonel Brandon approaches her and tells her that their engagement is widely known throughout town, though Elinor does not know of it. Elinor says that she is sure of their mutual affections, but when Colonel Brandon says that Willoughby should try to deserve Marianne, Elinor's doubts about Willoughby's character and intentions resurface.","Marianne was in good spirits when she arrived in Barton. Elinor was alternately diverted and pained, but Marianne persevered. She saw every night in the brightness of the fire, and every morning in the appearance of the atmosphere the certain symptoms of approaching frost.","Marianne was happy in the mildness of the weather, and still happier in her expectation of a frost. Elinor was alternately diverted and pained; but Marianne persevered. The Miss Dashwoods had no greater reason to be dissatisfied with Mrs. Jennings's style of living, and set of acquaintance.",0.1714285714285714,0.1787709497206704,0.0,0.0,0.10285714285714286,0.12290502793296089,0.09090909090909091,0.09090909090909091
7,The Brothers Karamazov,3469,5,"After the guests leave, Alyosha accompanies the feeble Zosima to his cell. There, Zosima tells Alyosha that he will have to leave the monastery and endure life out in the real world before he returns to the monastery. Zosima tells Alyosha to ""seek happiness in sorrow"" and then to leave his cell to join his brothers. Outside Alyosha encounters Rakitin, another novice. Rakitin is a cynical type, and interprets Zosima's bow to Dmitri as a fake prediction of a crime that's about to be committed in the Karamazov family. Alyosha is shocked, but Rakitin thinks it's obvious that the Karamazovs are all headed toward some awful deed. According to Rakitin, Dmitri will do anything for Grushenka, the woman he's having an affair with. But Fyodor also has the hots for Grushenka. Meanwhile, Ivan is circling over Katerina, Dmitri's wealthy and dignified fiancee. Rakitin has the inside scoop because he's Grushenka's confidante, but Alyosha suggests that Rakitin is also in love with Katerina. Just then, Rakitin points out that Fyodor is running out of the Father Superior's quarters, followed by Ivan, Miusov, and the landowner Maximov. Fyodor and Father Isidore are shouting at each other.","Alyosha was sent to serve at the Father Superior's dinner. Father Zossima told him to leave the monastery. Alyosha had a great longing to remain. He longed to ask the significance of his bowing to Dmitri, but he dared not ask.","Father Zossima told Alyosha not to weep, and to leave the monastery. ""What does that vision mean? That's what I want to ask you?"" ""That bowing to your brother, Dmitri?"" ""I don't know what that means."" ""To my thinking the old man really has a keen nose; he sniffed a crime. Your house stinks of it""",0.19672131147540983,0.19230769230769232,0.05785123966942149,0.03875968992248062,0.12295081967213115,0.12307692307692307,0.16666666666666666,0.1111111111111111
8,Uncle Vanya,4803,7,"In the daytime, Vanya, Sonya, and Yelena are gathered in the drawing room, waiting for Serebryakov, who has an announcement for them. Yelena says she's bored, and Sonya insists that she just needs something to keep herself busy because she's infecting everyone with her laziness. Vanya leaves and Sonya tells Yelena that she's dying of love for Astrov. Yelena promises to talk to him and find out if he feels the same way. Yelena says that it will be better to be certain, though Sonya isn't sure. She thinks that with uncertainty she at least still has hope. When Yelena approaches Astrov about Sonya, however, he just starts talking about the decay of society and civilization. Yelena finally gets her chance to ask Astrov about Sonya, and when he confirms that he doesn't love her, Yelena asks him to stop coming around so that he won't torture the poor girl anymore. Astrov misunderstands Yelena's intentions and thinks that she is the one who has a crush on him. He tries to kiss her, and just then Vanya walks in with a bouquet of flowers and sees Yelena struggling. The plot thickens. Yelena asks Vanya to help her get out of the country house. She wants to leave that very day. Finally, Serebryakov shows up to make his announcement. As his speech begins, Sonya can tell by Yelena's actions that Astrov doesn't love her. Serebryakov reveals that he's in financial doo doo. He doesn't have enough money to live in the city, but he hates living in the country. So he's going to sell the estate and move to Finland. Vanya is pretty ticked off at this proposal since he, his mother, and his niece, Sonya, won't have anywhere to go. He explains that the estate had belonged to his sister, and that he gave up his own inheritance to buy it for her. Now that he's worked for years keeping it running, his former brother-in-law wants to sell it out from under him. The family meeting turns into a shouting match, with Vanya and Yelena as the main maniacs. Sonya begs her father to have mercy on Vanya, reminding him that she, her uncle, and her grandmother worked their whole lives for him without asking for anything in return. Serebryakov goes offstage and a shot is fired. He comes back in, and Vanya shoots at him one more time. He misses both times, and gives up on his mission.","HELENA and SONIA are sitting in the drawing-room of SEREBRAKOFF'S house. VOITSKI asks HELENA if she would help run the place, teach the children, care for the sick, and so on. She says she feels miserable and restless, and can't seem to fit into this life.","Ivan Vitsky: For twenty-five years I have managed this place, and have sent you the returns from it like the most honest of servants. Alexander Vatanka: ""I realise that the time has come for me to dispose of my property"" ""I cannot continue to live in the country; we were not made for country life,"" he says.",0.13080168776371306,0.11180124223602482,0.01694915254237288,0.020790020790020795,0.08016877637130802,0.07453416149068323,0.0,0.0
9,The Brothers Karamazov,2641,4,"Outside, Kolya and Alyosha get to know each other. At first Kolya tries to impress Alyosha with his knowledge - disparaging religion and championing socialism, among other things. Frustrated, he asks Alyosha if he despises him, a question that surprises Alyosha. Alyosha quickly reassures Kolya. Kolya is won over by his frankness and lack of condescension. He opens up to Alyosha and confesses that he knows he suffers from vanity. Alyosha tells Kolya that he shouldn't be so worried about appearing ridiculous, and they both declare their friendship. Their conversation is cut short when the famous doctor emerges from the room.","""Ilusha is dying. I think that's certain,"" answered Alyosha, mournfully. Kolya had a great inclination to say something even warmer and more demonstrative, but he felt ill at ease. ""I've long learned to respect you as a rare person,"" he muttered.","""Ilusha is dying. I am glad to have made your acquaintance, though, Karamazov. I wanted to know you for a long time"" ""I've long learned to respect you as a rare person,"" Kolya muttered. ""Oh, how I love you and admire you at this moment just because you are rather ashamed! Because you are just like me""",0.1527777777777778,0.11320754716981131,0.0,0.012738853503184712,0.09722222222222222,0.07547169811320754,0.5,0.5
10,Far from the Madding Crowd,2020,3,"When Boldwood finally called on her, Bathsheba was not in. He had forgotten that, being a serious farmer, she might well need to be out-of-doors. Having put her on a pedestal, he found it difficult to see in her an everyday individual like himself. Their relationship was one of ""visual familiarity, oral strangeness. The smaller human elements were kept out of sight; the pettinesses that enter so largely into all earthly living and doing were disguised by the accident of lover and loved one not being on visiting terms."" Boldwood resolved to find her. The sheep-washing pool in the blossoming meadow, full of the clearest water, made a pretty spectacle. Several farmhands stood there with Bathsheba, who was in an elegant new riding habit. Two men pushed the sheep into the pool, then Gabriel pushed them under as they swam and, as the heavy wool became saturated, hauled them out with a crutchlike device. Bathsheba bade Boldwood a constrained good-day, momentarily thinking he had come to watch the washing. She withdrew, but he followed her. She sensed his silent emotion. Then, without preamble, he proposed. He stated his age, his background, and declared his need of her. Very formally, Bathsheba declined. He continued, regretting his inarticulateness, and said he would not have spoken, had he not hope. ""You are too dignified for me to suit you sir,"" she said, and blurted out apologies for thoughtlessly sending the valentine. He insisted, however, that it was not thoughtlessness but instinct that promoted it. Again he entreated, until she begged him to stop, asking for time. ""Then she turned away. Boldwood dropped his gaze to the ground, and stood long like a man who did not know where he was. Realities then returned to him like the pain of a wound received in an excitement which eclipses it, and he, too, then went on.""","Boldwood had forgotten the accidents of her position as an agriculturist. The sheep-washing pool was a perfectly circular basin of brickwork in the meadows, full of the clearest water. To birds on the wing its glassy surface, reflecting the light sky, must have been visible for miles around.","Boldwood had forgotten the accidents of her position as an agriculturist. Her probable whereabouts was out-of-doors at this time of the year. She was not at home. ""Of course not,"" he murmured. ""Miss Everdene!"" said the farmer. His tone was so utterly removed from all she had expected as a beginning.",0.15384615384615385,0.1793478260869565,0.05524861878453039,0.03278688524590164,0.11538461538461539,0.10869565217391304,0.0,0.0
